Ref,Val,Package,PosX,PosY,Rot,Side
"SW00","ESC","SW_Hotswap_Kailh_MX_1.00u",23.812500,-23.812500,0.000000,top
"SW01","2","SW_Hotswap_Kailh_MX_1.00u",61.912500,-23.812500,0.000000,top
"SW02","4","SW_Hotswap_Kailh_MX_1.00u",100.012500,-23.812500,0.000000,top
"SW03","6","SW_Hotswap_Kailh_MX_1.00u",138.112500,-23.812500,0.000000,top
"SW04","8","SW_Hotswap_Kailh_MX_1.00u",176.212500,-23.812500,180.000000,top
"SW05","0","SW_Hotswap_Kailh_MX_1.00u",214.312500,-23.812500,0.000000,top
"SW06","EQUAL","SW_Hotswap_Kailh_MX_1.00u",252.412500,-23.812500,0.000000,top
"SW07","BQUOT","SW_Hotswap_Kailh_MX_1.00u",290.512500,-23.812500,0.000000,top
"SW10","1","SW_Hotswap_Kailh_MX_1.00u",42.862500,-23.812500,0.000000,top
"SW11","3","SW_Hotswap_Kailh_MX_1.00u",80.962500,-23.812500,0.000000,top
"SW12","5","SW_Hotswap_Kailh_MX_1.00u",119.062500,-23.812500,0.000000,top
"SW13","7","SW_Hotswap_Kailh_MX_1.00u",157.162500,-23.812500,180.000000,top
"SW14","9","SW_Hotswap_Kailh_MX_1.00u",195.262500,-23.812500,0.000000,top
"SW15","MINUS","SW_Hotswap_Kailh_MX_1.00u",233.362500,-23.812500,0.000000,top
"SW16","BSLSH","SW_Hotswap_Kailh_MX_1.00u",271.462500,-23.812500,0.000000,top
"SW17","F13","SW_Hotswap_Kailh_MX_1.00u",309.562500,-23.812500,0.000000,top
"SW20","TAB","SW_Hotswap_Kailh_MX_1.50u",28.575000,-42.862500,0.000000,top
"SW21","W","SW_Hotswap_Kailh_MX_1.00u",71.437500,-42.862500,0.000000,top
"SW22","R","SW_Hotswap_Kailh_MX_1.00u",109.537500,-42.862500,0.000000,top
"SW23","Y","SW_Hotswap_Kailh_MX_1.00u",147.637500,-42.862500,0.000000,top
"SW24","I","SW_Hotswap_Kailh_MX_1.00u",185.737500,-42.862500,0.000000,top
"SW25","P","SW_Hotswap_Kailh_MX_1.00u",223.837500,-42.862500,0.000000,top
"SW26","RBRAC","SW_Hotswap_Kailh_MX_1.00u",261.937500,-42.862500,0.000000,top
"SW27","F14","SW_Hotswap_Kailh_MX_1.00u",309.562500,-42.862500,0.000000,top
"SW30","Q","SW_Hotswap_Kailh_MX_1.00u",52.387500,-42.862500,0.000000,top
"SW31","E","SW_Hotswap_Kailh_MX_1.00u",90.487500,-42.862500,0.000000,top
"SW32","T","SW_Hotswap_Kailh_MX_1.00u",128.587500,-42.862500,0.000000,top
"SW33","U","SW_Hotswap_Kailh_MX_1.00u",166.687500,-42.862500,0.000000,top
"SW34","O","SW_Hotswap_Kailh_MX_1.00u",204.787500,-42.862500,0.000000,top
"SW35","LBRAC","SW_Hotswap_Kailh_MX_1.00u",242.887500,-42.862500,0.000000,top
"SW36","DEL","SW_Hotswap_Kailh_MX_1.50u",285.750000,-42.862500,0.000000,top
"SW40","A","SW_Hotswap_Kailh_MX_1.00u",57.150000,-61.912500,0.000000,top
"SW41","D","SW_Hotswap_Kailh_MX_1.00u",95.250000,-61.912500,0.000000,top
"SW42","G","SW_Hotswap_Kailh_MX_1.00u",133.350000,-61.912500,0.000000,top
"SW43","J","SW_Hotswap_Kailh_MX_1.00u",171.450000,-61.912500,0.000000,top
"SW44","L","SW_Hotswap_Kailh_MX_1.00u",209.550000,-61.912500,0.000000,top
"SW45","QUOTE","SW_Hotswap_Kailh_MX_1.00u",247.650000,-61.912500,0.000000,top
"SW47","F15","SW_Hotswap_Kailh_MX_1.00u",309.562500,-61.912500,0.000000,top
"SW50","LCTRL","SW_Hotswap_Kailh_MX_1.75u",30.956250,-61.912500,0.000000,top
"SW51","S","SW_Hotswap_Kailh_MX_1.00u",76.200000,-61.912500,0.000000,top
"SW52","F","SW_Hotswap_Kailh_MX_1.00u",114.300000,-61.912500,0.000000,top
